sample-id	Genotype	ANON	Replicates	Day	Treatment
MBC1A	LRV_0_1	DM2015	1	D1	CO
MBC2A	LRV_0_1	DM2015	2	D1	CO
MBC3A	LRV_0_1	DM2015	3	D1	CO
MBC4A	LRV_0_1	DM2015	1	D2	CO
MBC5A	LRV_0_1	DM2015	2	D2	CO
MBC6A	LRV_0_1	DM2015	3	D2	CO
MBC7A	LRV_0_1	DM2015	1	D3	CO
MBC8A	LRV_0_1	DM2015	2	D3	CO
MBC9A	LRV_0_1	DM2015	3	D3	CO
MBC10A	LRV_8-5_3	DM1980	1	D1	CO
MBC11A	LRV_8-5_3	DM1980	2	D1	CO
MBC12A	LRV_8-5_3	DM1980	3	D1	CO
MBC13A	LRV_8-5_3	DM1980	1	D2	CO
MBC14A	LRV_8-5_3	DM1980	2	D2	CO
MBC15A	LRV_8-5_3	DM1980	3	D2	CO
MBC16A	LRV_8-5_3	DM1980	1	D3	CO
MBC17A	LRV_8-5_3	DM1980	2	D3	CO
MBC18A	LRV_8-5_3	DM1980	3	D3	CO
MBC19A	LRV_12_3	DM1960	1	D1	CO
MBC20A	LRV_12_3	DM1960	2	D1	CO
MBC21A	LRV_12_3	DM1960	3	D1	CO
MBC22A	LRV_12_3	DM1960	1	D2	CO
MBC23A	LRV_12_3	DM1960	2	D2	CO
MBC24A	LRV_12_3	DM1960	3	D2	CO
MBC25A	LRV_12_3	DM1960	1	D3	CO
MBC26A	LRV_12_3	DM1960	2	D3	CO
MBC27A	LRV_12_3	DM1960	3	D3	CO
MBC28A	LR2_36_1	DM1900	1	D1	CO
MBC29A	LR2_36_1	DM1900	2	D1	CO
MBC30A	LR2_36_1	DM1900	3	D1	CO
MBC31A	LR2_36_1	DM1900	1	D2	CO
MBC32A	LR2_36_1	DM1900	2	D2	CO
MBC33A	LR2_36_1	DM1900	3	D2	CO
MBC34A	LR2_36_1	DM1900	1	D3	CO
MBC35A	LR2_36_1	DM1900	2	D3	CO
MBA1	LRV_0_1	DM2015	1	D1	ZNE
MBA2	LRV_0_1	DM2015	2	D1	ZNE
MBA3	LRV_0_1	DM2015	3	D1	ZNE
MBA4	LRV_0_1	DM2015	1	D2	ZNE
MBA5	LRV_0_1	DM2015	2	D2	ZNE
MBA6	LRV_0_1	DM2015	3	D2	ZNE
MBA7	LRV_0_1	DM2015	1	D3	ZNE
MBA8	LRV_0_1	DM2015	2	D3	ZNE
MBA9	LRV_0_1	DM2015	3	D3	ZNE
MBA10	LRV_8-5_3	DM1980	1	D1	ZNE
MBA11	LRV_8-5_3	DM1980	2	D1	ZNE
MBA12	LRV_8-5_3	DM1980	3	D1	ZNE
MBA13	LRV_8-5_3	DM1980	1	D2	ZNE
MBA14	LRV_8-5_3	DM1980	2	D2	ZNE
MBA15	LRV_8-5_3	DM1980	3	D2	ZNE
MBA16	LRV_8-5_3	DM1980	1	D3	ZNE
MBA17	LRV_8-5_3	DM1980	2	D3	ZNE
MBA18	LRV_8-5_3	DM1980	3	D3	ZNE
MBA19	LRV_12_3	DM1960	1	D1	ZNE
MBA20	LRV_12_3	DM1960	2	D1	ZNE
MBA21	LRV_12_3	DM1960	3	D2	ZNE
MBA22	LRV_12_3	DM1960	1	D2	ZNE
MBA23	LRV_12_3	DM1960	2	D2	ZNE
MBA24	LRV_12_3	DM1960	3	D2	ZNE
MBA25	LRV_12_3	DM1960	1	D3	ZNE
MBA26	LRV_12_3	DM1960	2	D3	ZNE
MBA27	LRV_12_3	DM1960	3	D3	ZNE
MBA28	LR2_36_1	DM1900	1	D1	ZNE
MBA29	LR2_36_1	DM1900	2	D1	ZNE
MBA32	LR2_36_1	DM1900	2	D2	ZNE
MBA33	LR2_36_1	DM1900	3	D2	ZNE
MBA34	LR2_36_1	DM1900	1	D3	ZNE
MBA36	LR2_36_1	DM1900	3	D3	ZNE
